	Datetime	Open	High	Low	Close	Volume
0	2022-01-01 00:00:00	46216.93	46271.08	46208.37	46250.0	40.57574
1	2022-01-01 00:01:00	46250.0	46344.23	46234.39	46312.76	42.38106
2	2022-01-01 00:02:00	46312.76	46381.69	46292.75	46368.73	51.29955
3	2022-01-01 00:03:00	46368.73	46391.49	46314.26	46331.08	30.45894
4	2022-01-01 00:04:00	46331.07	46336.1	46300.0	46321.34	20.96029
5	2022-01-01 00:05:00	46321.34	46443.56	46280.0	46436.03	35.86682
6	2022-01-01 00:06:00	46436.03	46518.32	46432.5	46518.31	29.31849
7	2022-01-01 00:07:00	46518.31	46527.26	46427.06	46427.95	27.81847
8	2022-01-01 00:08:00	46427.94	46427.97	46383.78	46392.64	15.96245
9	2022-01-01 00:09:00	46392.64	46406.48	46350.96	46371.11	14.46954
10	2022-01-01 00:10:00	46369.79	46394.0	46341.55	46379.8	10.65734
11	2022-01-01 00:11:00	46379.8	46379.81	46293.32	46312.37	19.01268
12	2022-01-01 00:12:00	46312.38	46312.38	46276.22	46288.64	11.6262
13	2022-01-01 00:13:00	46288.81	46363.84	46288.64	46329.0	23.15078
14	2022-01-01 00:14:00	46329.0	46353.5	46320.3	46332.51	13.09874
15	2022-01-01 00:15:00	46332.52	46332.52	46312.38	46329.13	8.40902
16	2022-01-01 00:16:00	46329.12	46329.97	46307.84	46323.31	24.76988
17	2022-01-01 00:17:00	46323.31	46323.31	46280.61	46283.37	11.99892
18	2022-01-01 00:18:00	46283.36	46296.67	46266.32	46283.39	24.88379
19	2022-01-01 00:19:00	46283.39	46303.79	46236.27	46293.9	31.08154
20	2022-01-01 00:20:00	46295.42	46337.5	46286.25	46327.98	26.61854
21	2022-01-01 00:21:00	46327.97	46384.35	46290.84	46384.34	38.03832
22	2022-01-01 00:22:00	46384.35	46421.27	46371.97	46394.04	35.61633
23	2022-01-01 00:23:00	46394.03	46401.9	46360.18	46368.56	9.44557
24	2022-01-01 00:24:00	46368.56	46403.94	46368.55	46395.53	25.60603
25	2022-01-01 00:25:00	46395.53	46400.38	46380.32	46385.31	19.11556
26	2022-01-01 00:26:00	46385.32	46393.59	46385.31	46386.29	16.69766
27	2022-01-01 00:27:00	46386.29	46386.29	46345.1	46354.88	9.68098
28	2022-01-01 00:28:00	46354.88	46380.55	46352.51	46361.38	25.29168
29	2022-01-01 00:29:00	46361.38	46379.99	46352.41	46375.42	12.74591
30	2022-01-01 00:30:00	46375.42	46386.28	46360.19	46365.71	26.76485
31	2022-01-01 00:31:00	46365.72	46377.84	46365.71	46375.01	7.85249
32	2022-01-01 00:32:00	46375.0	46393.83	46375.0	46385.05	19.78791
33	2022-01-01 00:33:00	46385.04	46385.05	46375.0	46375.01	7.34391
34	2022-01-01 00:34:00	46375.02	46446.47	46375.01	46443.65	20.0769
35	2022-01-01 00:35:00	46443.65	46489.12	46443.64	46468.94	30.90804
36	2022-01-01 00:36:00	46468.95	46508.0	46466.03	46499.99	20.46056
37	2022-01-01 00:37:00	46499.99	46513.46	46471.56	46508.6	15.46005
38	2022-01-01 00:38:00	46508.61	46512.05	46499.83	46500.01	10.6516
39	2022-01-01 00:39:00	46500.01	46590.0	46498.42	46530.7	35.63549
40	2022-01-01 00:40:00	46530.71	46576.78	46503.51	46574.03	33.84476
41	2022-01-01 00:41:00	46574.06	46656.28	46561.53	46634.13	48.42193
42	2022-01-01 00:42:00	46634.14	46689.42	46627.15	46644.03	73.12964
43	2022-01-01 00:43:00	46644.03	46670.13	46636.43	46657.84	16.39351
44	2022-01-01 00:44:00	46657.84	46657.84	46610.74	46610.81	19.34913
45	2022-01-01 00:45:00	46610.81	46621.08	46575.76	46621.0	29.09297
46	2022-01-01 00:46:00	46621.01	46647.0	46619.57	46637.7	23.03267
47	2022-01-01 00:47:00	46637.71	46674.6	46627.48	46672.46	28.10511
48	2022-01-01 00:48:00	46672.47	46731.0	46657.05	46717.92	59.55703
49	2022-01-01 00:49:00	46717.91	46731.39	46684.71	46693.74	28.87589
50	2022-01-01 00:50:00	46693.75	46702.89	46673.57	46691.17	29.46041
51	2022-01-01 00:51:00	46691.17	46708.59	46674.92	46681.73	25.20345
52	2022-01-01 00:52:00	46681.73	46683.75	46628.6	46666.75	28.23488
53	2022-01-01 00:53:00	46666.74	46668.13	46633.7	46640.98	11.23276
54	2022-01-01 00:54:00	46640.97	46698.29	46640.97	46659.65	39.27584
55	2022-01-01 00:55:00	46659.66	46672.97	46656.14	46671.69	19.61764
56	2022-01-01 00:56:00	46671.69	46674.46	46658.46	46670.21	14.07134
57	2022-01-01 00:57:00	46670.21	46690.16	46662.99	46685.42	18.48264
58	2022-01-01 00:58:00	46685.42	46685.44	46660.0	46660.01	11.07046
59	2022-01-01 00:59:00	46660.0	46664.18	46630.46	46656.13	45.28027
60	2022-01-01 01:00:00	46656.14	46661.64	46647.29	46647.29	23.33749
61	2022-01-01 01:01:00	46649.17	46650.6	46580.53	46592.51	17.95685
62	2022-01-01 01:02:00	46592.51	46615.97	46574.06	46615.96	22.67699
63	2022-01-01 01:03:00	46615.97	46618.51	46579.34	46579.35	9.28617
64	2022-01-01 01:04:00	46579.34	46591.4	46575.99	46582.68	53.19023
